返航安全余量,A型最小安全载荷（kg）,A型最大安全载荷（kg）,B型最小安全载荷（kg）,B型最大安全载荷（kg）,C型最小安全载荷（kg）,C型最大安全载荷（kg）,是否可行,最少总架次,最优累计时间（h）,对应总能耗（kWh）
0,25,25,30,30,79.7156046567,80,是,18,9.09623060716,59.1199036821
0.1,25,25,30,30,71.4912251074,80,是,18,9.09623060716,59.1199036821
0.15,25,25,30,30,65.9668912833,80,是,18,9.09623060716,59.1199036821
0.2,25,25,28.8477910068,30,58.9841239402,80,是,18,9.09623060716,59.1199036821
0.25,24.6832163058,25,25.5403096863,30,49.8070345054,80,是,19,9.59168717301,61.1533387927
0.3,14.3998049139,25,21.081504982,30,36.953665918,80,是,20,10.152638514,67.2136488069
0.35,0,25,14.5648576674,30,15.9213511502,80,是,25,12.5911489304,75.6203915809
0.4,0,25,1.79565159699,30,0,80,否,,,
