candidate_id,ideal_distance,hard_violations,max_hard_lateness_s,weighted_tardiness,weighted_delivery_ratio,on_time_boxes,makespan_s,energy_kwh,trips
P001,0.707106781187,0,0,144.053203702,0.773152716749,69,10715.5853994,60.940670617,17
P002,0.707106781187,0,0,144.053203702,0.773152716749,69,10715.5853994,60.940670617,17
P003,0.707106781187,0,0,144.053203702,0.773152716749,69,10715.5853994,60.940670617,17
P004,0.707106781187,0,0,144.053203702,0.773152716749,69,10715.5853994,60.940670617,17
P005,0.582775942111,0,0,167.640248209,0.703041431586,65,9943.02147417,67.3048970885,22
P006,0.582775942111,0,0,167.640248209,0.703041431586,65,9943.02147417,67.3048970885,22
P007,0.582775942111,0,0,167.640248209,0.703041431586,65,9943.02147417,67.3048970885,22
P008,0.582775942111,0,0,167.640248209,0.703041431586,65,9943.02147417,67.3048970885,22
P009,0.74619189322,0,0,175.799667042,0.683939687392,64,10311.275531,69.0348605812,23
P010,0.74619189322,0,0,175.799667042,0.683939687392,64,10311.275531,69.0348605812,23
P011,0.74619189322,0,0,175.799667042,0.683939687392,64,10311.275531,69.0348605812,23
