from_id,to_id,row,col,t_enter,t_exit,terrain_m
O01,S001,716,744,0.6851177061,0.696191962,208.2810364
O01,S001,715,744,0.696191962,0.7052901676,212.2935333
O01,S001,715,745,0.7052901676,0.707266218,219.7545319
O01,S001,714,745,0.707266218,0.718340474,207.9157715
O01,S001,713,745,0.718340474,0.7277274286,196.9198761
O01,S001,713,746,0.7277274286,0.72941473,194.6550293
O01,S001,712,746,0.72941473,0.740488986,186.6600952
O01,S001,711,746,0.740488986,0.7501646895,182.5639954
O01,S001,711,747,0.7501646895,0.751563242,186.3681335
O01,S001,710,747,0.751563242,0.762637498,176.9164124
O01,S001,709,747,0.762637498,0.7726019504,181.5545197
O01,S001,709,748,0.7726019504,0.7737117539,195.9501648
O01,S001,708,748,0.7737117539,0.7847860099,194.3182831
O01,S001,707,748,0.7847860099,0.7950392114,184.3134766
O01,S001,707,749,0.7950392114,0.7958602659,203.2067108
O01,S001,706,749,0.7958602659,0.8069345219,194.5969086
O01,S001,705,749,0.8069345219,0.8174764723,184.7661438
O01,S001,705,750,0.8174764723,0.8180087779,195.2332001
O01,S001,704,750,0.8180087779,0.8290830339,186.4247742
O01,S001,703,750,0.8290830339,0.8399137332,192.6904602
O01,S001,703,751,0.8399137332,0.8401572899,201.8096161
O01,S001,702,751,0.8401572899,0.8512315459,194.8701935
O01,S001,701,751,0.8512315459,0.8623058018,194.1124725
O01,S001,700,751,0.8623058018,0.8623509942,180.9185944
O01,S001,700,752,0.8623509942,0.8733800578,155.0782166
O01,S001,699,752,0.8733800578,0.8844543138,146.7593384
O01,S001,698,752,0.8844543138,0.8847882551,151.4654846
O01,S001,698,753,0.8847882551,0.8955285698,150.2293091
O01,S001,697,753,0.8955285698,0.9066028258,154.8434296
O01,S001,696,753,0.9066028258,0.907225516,157.3914337
O01,S001,696,754,0.907225516,0.9176770818,158.727829
O01,S001,695,754,0.9176770818,0.9287513378,158.9687195
O01,S001,694,754,0.9287513378,0.9296627769,165.2792664
O01,S001,694,755,0.9296627769,0.9398255938,156.3206329
O01,S001,693,755,0.9398255938,0.9508998497,149.4881287
O01,S001,692,755,0.9508998497,0.9521000379,148.6284637
O01,S001,692,756,0.9521000379,0.9619741057,151.332428
O01,S001,691,756,0.9619741057,0.9730483617,156.4326477
O01,S001,690,756,0.9730483617,0.9745372988,154.7387543
O01,S001,690,757,0.9745372988,0.9841226177,154.0418243
O01,S001,689,757,0.9841226177,0.9951968737,151.5809937
O01,S001,688,757,0.9951968737,0.9969745597,152.5370789
O01,S001,688,758,0.9969745597,1,153.9613647
O01,S002,778,713,0,0.003890477793,128.7255402
O01,S002,777,713,0.003890477793,0.004350951337,130.8047485
O01,S002,777,714,0.004350951337,0.008383984137,132.3164215
O01,S002,776,714,0.008383984137,0.01287749048,133.5413055
O01,S002,775,714,0.01287749048,0.01437895755,135.1181488
O01,S002,775,715,0.01437895755,0.01737099683,140.2415924
O01,S002,774,715,0.01737099683,0.02186450317,144.3026123
O01,S002,773,715,0.02186450317,0.02440696377,145.2320862
O01,S002,773,716,0.02440696377,0.02635800951,142.6736755
O01,S002,772,716,0.02635800951,0.03085151586,141.5878448
O01,S002,771,716,0.03085151586,0.03443496998,141.0373077
O01,S002,771,717,0.03443496998,0.0353450222,137.09552
O01,S002,770,717,0.0353450222,0.03983852855,138.4673767
O01,S002,769,717,0.03983852855,0.04433203489,142.2293701
O01,S002,768,717,0.04433203489,0.0444629762,148.6682129
O01,S002,768,718,0.0444629762,0.04882554123,142.0905914
O01,S002,767,718,0.04882554123,0.05331904758,150.4017334
O01,S002,766,718,0.05331904758,0.05449098242,158.0702972
O01,S002,766,719,0.05449098242,0.05781255392,153.67836
O01,S002,765,719,0.05781255392,0.06230606027,158.9069824
O01,S002,764,719,0.06230606027,0.06451898863,160.8227539
O01,S002,764,720,0.06451898863,0.06679956661,161.6325226
O01,S002,763,720,0.06679956661,0.07129307295,162.7542114
O01,S002,762,720,0.07129307295,0.07454699485,165.4799042
O01,S002,762,721,0.07454699485,0.0757865793,165.6675415
O01,S002,761,721,0.0757865793,0.08028008564,166.5437775
O01,S002,760,721,0.08028008564,0.08457500106,167.7640533
O01,S002,760,722,0.08457500106,0.08477359199,166.9786835
O01,S002,759,722,0.08477359199,0.08926709833,174.7891693
O01,S002,758,722,0.08926709833,0.09376060467,183.5195312
O01,S002,757,722,0.09376060467,0.09460300728,190.0127106
O01,S002,757,723,0.09460300728,0.09825411102,195.837738
O01,S002,756,723,0.09825411102,0.1027476174,198.7725525
O01,S002,755,723,0.1027476174,0.1046310135,188.4161377
O01,S002,755,724,0.1046310135,0.1072411237,199.1165161
O01,S002,754,724,0.1072411237,0.1117346301,195.7622986
O01,S002,753,724,0.1117346301,0.1146590197,190.7510071
O01,S002,753,725,0.1146590197,0.1162281364,196.8179321
O01,S002,752,725,0.1162281364,0.1207216427,181.9797211
O01,S002,751,725,0.1207216427,0.1246870259,159.2181702
O01,S002,751,726,0.1246870259,0.1252151491,159.155838
O01,S002,750,726,0.1252151491,0.1297086554,136.9640808
O01,S002,749,726,0.1297086554,0.1342021618,143.4798126
O01,S002,748,726,0.1342021618,0.1347150321,168.9674377
O01,S002,748,727,0.1347150321,0.1386956681,163.010788
O01,S002,747,727,0.1386956681,0.1431891745,178.59021
O01,S002,746,727,0.1431891745,0.1447430384,183.8883362
O01,S002,746,728,0.1447430384,0.1476826808,189.3926086
O01,S002,745,728,0.1476826808,0.1521761871,193.2533722
O01,S002,744,728,0.1521761871,0.1547710446,181.4134521
O01,S002,744,729,0.1547710446,0.1566696935,189.0953369
O01,S002,743,729,0.1566696935,0.1611631998,176.6352844
O01,S002,742,729,0.1611631998,0.1647990508,159.6540222
O01,S002,742,730,0.1647990508,0.1656567062,158.9274139
O01,S002,741,730,0.1656567062,0.1701502125,158.3814392
O01,S002,740,730,0.1701502125,0.1746437189,168.526123
O01,S002,739,730,0.1746437189,0.174827057,170.0960083
O01,S002,739,731,0.174827057,0.1791372252,179.6592255
O01,S002,738,731,0.1791372252,0.1836307316,191.2545166
O01,S002,737,731,0.1836307316,0.1848550632,196.4828644
O01,S002,737,732,0.1848550632,0.1881242379,198.2064819
O01,S002,736,732,0.1881242379,0.1926177442,185.3983612
O01,S002,735,732,0.1926177442,0.1948830694,176.6797028
O01,S002,735,733,0.1948830694,0.1971112506,160.1225586
O01,S002,734,733,0.1971112506,0.2016047569,153.9062195
