from_id,to_id,distance_m,geodesic_m,projection_relative_error,terrain_max_m,cruise_alt_m,climb_m,descent_m,cell_count
S006,S008,8061.429184,8061.40723,2.723245274e-06,517.8421021,567.8421021,253.0421021,296.9421021,306
S006,S009,7669.726455,7669.050273,8.817019241e-05,341.0712891,391.0712891,76.27128906,161.0712891,368
S006,S010,7921.576205,7921.289381,3.62092592e-05,383.2227783,433.2227783,118.4227783,81.62277832,318
S006,S011,3409.826859,3409.721333,3.0948658e-05,350.4675903,400.4675903,85.66759033,188.3675903,162
S006,S012,9991.005409,9989.796042,0.0001210602152,385.3490295,435.3490295,120.5490295,155.5490295,469
S006,S013,7783.246214,7782.691509,7.127413499e-05,344.170929,394.170929,79.37092896,42.47092896,343
S006,S014,8596.657308,8596.786772,-1.505951805e-05,556.6621094,606.6621094,291.8621094,255.6621094,312
S006,S015,4684.467491,4684.460846,1.41856555e-06,601.2601318,651.2601318,336.4601318,176.7601318,177
S007,O01,4534.717375,4534.460567,5.663476442e-05,461.973175,511.973175,163.473175,384.273175,213
S007,S001,5188.755906,5187.88323,0.0001682143216,389.175354,439.175354,90.675354,255.175354,198
S007,S002,8119.974923,8118.281841,0.0002085516745,424.7281799,474.7281799,126.2281799,255.2281799,385
S007,S003,2734.688325,2734.261623,0.0001560576232,360.6993408,410.6993408,62.19934082,72.19934082,126
S007,S004,7097.409235,7096.418611,0.000139595013,543.2369995,593.2369995,244.7369995,364.9369995,338
S007,S005,4688.674243,4687.969222,0.0001503893959,467.1478271,517.1478271,168.6478271,322.1478271,225
S007,S006,2507.453896,2507.441751,4.843822928e-06,540.3613281,590.3613281,241.8613281,275.5613281,104
S007,S008,5911.691775,5911.482677,3.537152641e-05,606.739502,656.739502,308.239502,385.839502,253
S007,S009,6909.134984,6907.712077,0.0002059881728,418.3708191,468.3708191,119.8708191,238.3708191,315
S007,S010,8600.953064,8599.961837,0.0001152594861,386.949646,436.949646,88.449646,85.349646,337
S007,S011,2834.487102,2834.028477,0.0001618282458,389.175354,439.175354,90.675354,227.075354,109
S007,S012,9665.42163,9663.238044,0.0002259684028,407.6636353,457.6636353,109.1636353,177.8636353,416
S007,S013,8056.279599,8054.98867,0.0001602645267,382.5381165,432.5381165,84.03811646,80.83811646,290
S007,S014,9684.640719,9684.060959,5.986751662e-05,530.8557739,580.8557739,232.3557739,229.8557739,415
S007,S015,2219.350976,2219.359432,-3.810185789e-06,452.9182129,502.9182129,154.4182129,28.41821289,74
S008,O01,8079.110449,8079.033112,9.572477822e-06,322.9093323,372.9093323,102.0093323,245.2093323,321
S008,S001,5968.762003,5968.208405,9.275781315e-05,316.7871704,366.7871704,95.88717041,182.7871704,276
S008,S002,4804.608941,4802.361653,0.0004679548024,331.8424988,381.8424988,110.9424988,162.3424988,199
S008,S003,6255.275707,6254.068545,0.0001930202762,746.0787354,796.0787354,525.1787354,457.5787354,300
S008,S004,2612.942542,2611.596348,0.0005154676929,336.8334961,386.8334961,115.9334961,158.5334961,98
S008,S005,3040.519784,3040.170436,0.0001149106597,316.7871704,366.7871704,95.88717041,171.7871704,141
S008,S006,8061.429184,8061.40723,2.723245274e-06,517.8421021,567.8421021,296.9421021,253.0421021,306
S008,S007,5911.691775,5911.482677,3.537152641e-05,606.739502,656.739502,385.839502,308.239502,253
S008,S009,5019.818776,5018.270497,0.0003085282138,338.6203613,388.6203613,117.7203613,158.6203613,237
S008,S010,9294.307503,9292.964894,0.000144475815,419.0903015,469.0903015,198.1903015,117.4903015,445
S008,S011,5327.220538,5327.212076,1.588357376e-06,362.9165039,412.9165039,142.0165039,200.8165039,199
S008,S012,7730.731128,7727.832257,0.0003751208364,309.1531982,359.1531982,88.25319824,79.35319824,344
S008,S013,8055.544715,8054.017466,0.0001896257362,336.3731079,386.3731079,115.4731079,34.67310791,386
S008,S014,10975.50884,10974.33485,0.0001069757798,542.4922485,592.4922485,321.5922485,241.4922485,523
S008,S015,3929.332309,3928.894047,0.0001115485808,660.4509277,710.4509277,439.5509277,235.9509277,182
S009,O01,5705.303447,5705.144962,2.777919633e-05,243.2289124,293.2289124,63.22891235,165.5289124,253
S009,S001,2651.313927,2651.198774,4.34342393e-05,243.2289124,293.2289124,63.22891235,109.2289124,118
S009,S002,1724.583638,1724.547196,2.113152574e-05,278.2866516,328.2866516,98.28665161,108.7866516,71
S009,S003,8900.023984,8897.537412,0.0002794673946,544.5881348,594.5881348,364.5881348,256.0881348,362
S009,S004,2985.458345,2985.089053,0.0001237122668,275.2157898,325.2157898,95.21578979,96.91578979,140
S009,S005,2650.844495,2649.922537,0.0003479190074,313.5632019,363.5632019,133.5632019,168.5632019,97
S009,S006,7669.726455,7669.050273,8.817019241e-05,341.0712891,391.0712891,161.0712891,76.27128906,368
S009,S007,6909.134984,6907.712077,0.0002059881728,418.3708191,468.3708191,238.3708191,119.8708191,315
S009,S008,5019.818776,5018.270497,0.0003085282138,338.6203613,388.6203613,158.6203613,117.7203613,237
S009,S010,4564.345675,4564.123978,4.857372589e-05,432.9572754,482.9572754,252.9572754,131.3572754,209
S009,S011,4325.841074,4325.129159,0.0001645997129,265.6676636,315.6676636,85.66766357,103.5676636,207
S009,S012,2973.718035,2972.701832,0.0003418450951,310.9196167,360.9196167,130.9196167,81.1196167,108
S009,S013,3211.380183,3211.141162,7.443483101e-05,322.2989807,372.2989807,142.2989807,20.59898071,150
S009,S014,6315.671829,6315.453707,3.453769838e-05,502.7727966,552.7727966,322.7727966,201.7727966,287
S009,S015,6364.775032,6362.737186,0.0003202781978,532.3267822,582.3267822,352.3267822,107.8267822,244
S010,O01,4784.674506,4784.494852,3.75493388e-05,385.6365356,435.6365356,84.03653564,307.9365356,203
S010,S001,3710.296407,3709.89418,0.000108420003,381.0796814,431.0796814,79.4796814,247.0796814,170
S010,S002,5917.156741,5917.036166,2.037760546e-05,441.8539429,491.8539429,140.2539429,272.3539429,247
S010,S003,11226.03088,11224.34153,0.0001505074793,466.9641724,516.9641724,165.3641724,178.4641724,462
S010,S004,7545.766883,7545.204777,7.449844919e-05,432.9572754,482.9572754,131.3572754,254.6572754,348
S010,S005,6362.158983,6361.357076,0.0001260592399,416.1532593,466.1532593,114.5532593,271.1532593,305
S010,S006,7921.576205,7921.289381,3.62092592e-05,383.2227783,433.2227783,81.62277832,118.4227783,318
S010,S007,8600.953064,8599.961837,0.0001152594861,386.949646,436.949646,85.349646,88.449646,337
S010,S008,9294.307503,9292.964894,0.000144475815,419.0903015,469.0903015,117.4903015,198.1903015,445
S010,S009,4564.345675,4564.123978,4.857372589e-05,432.9572754,482.9572754,131.3572754,252.9572754,209
S010,S011,5874.255552,5873.554813,0.0001193039305,387.043335,437.043335,85.44333496,224.943335,247
S010,S012,3951.019075,3951.004522,3.683377899e-06,423.1903076,473.1903076,121.5903076,193.3903076,152
S010,S013,1378.690187,1378.67257,1.277821294e-05,454.0703735,504.0703735,152.4703735,152.3703735,60
S010,S014,1753.200164,1753.191203,5.111200598e-06,487.5635681,537.5635681,185.9635681,186.5635681,79
S010,S015,9197.58206,9196.058223,0.0001657053747,568.3262329,618.3262329,266.7262329,143.8262329,410
S011,O01,2808.106412,2808.074233,1.145970069e-05,245.3617554,295.3617554,83.26175537,167.6617554,123
S011,S001,2354.510777,2354.092459,0.00017769812,226.3879089,276.3879089,64.28790894,92.38790894,90
S011,S002,5782.491471,5781.673944,0.0001413997985,311.7853394,361.7853394,149.6853394,142.2853394,277
S011,S003,5357.674991,5356.618098,0.000197306042,485.4223022,535.4223022,323.3223022,196.9223022,216
S011,S004,5403.918133,5403.734548,3.397375642e-05,311.138916,361.138916,149.038916,132.838916,230
S011,S005,2802.763602,2802.712805,1.812401965e-05,297.5489197,347.5489197,135.4489197,152.5489197,117
S011,S006,3409.826859,3409.721333,3.0948658e-05,350.4675903,400.4675903,188.3675903,85.66759033,162
S011,S007,2834.487102,2834.028477,0.0001618282458,389.175354,439.175354,227.075354,90.675354,109
S011,S008,5327.220538,5327.212076,1.588357376e-06,362.9165039,412.9165039,200.8165039,142.0165039,199
S011,S009,4325.841074,4325.129159,0.0001645997129,265.6676636,315.6676636,103.5676636,85.66766357,207
S011,S010,5874.255552,5873.554813,0.0001193039305,387.043335,437.043335,224.943335,85.44333496,247
S011,S012,6905.034447,6903.502944,0.0002218442944,370.4505615,420.4505615,208.3505615,140.6505615,308
S011,S013,5234.089763,5233.20258,0.0001695296176,328.3608093,378.3608093,166.2608093,26.66080933,188
S011,S014,7128.155043,7127.719087,6.11635237e-05,568.5668335,618.5668335,406.4668335,267.5668335,325
S011,S015,3461.755517,3461.196865,0.0001614042828,538.7306519,588.7306519,376.6306519,114.2306519,164
S012,O01,7391.140163,7390.491687,8.774457312e-05,363.3009949,413.3009949,133.5009949,285.6009949,354
S012,S001,4698.611393,4697.683539,0.0001975130916,385.5996094,435.5996094,155.7996094,251.5996094,219
S012,S002,3072.090589,3071.275527,0.0002653823019,358.1782532,408.1782532,128.3782532,188.6782532,146
S012,S003,11820.28941,11816.96239,0.00028154671,544.5889282,594.5889282,314.7889282,256.0889282,463
S012,S004,5286.827376,5285.127318,0.0003216684002,312.006958,362.006958,82.20695801,133.706958,247
S012,S005,5624.552469,5622.613283,0.0003448906042,313.5632019,363.5632019,83.7632019,168.5632019,204
S012,S006,9991.005409,9989.796042,0.0001210602152,385.3490295,435.3490295,155.5490295,120.5490295,469
S012,S007,9665.42163,9663.238044,0.0002259684028,407.6636353,457.6636353,177.8636353,109.1636353,416
S012,S008,7730.731128,7727.832257,0.0003751208364,309.1531982,359.1531982,79.35319824,88.25319824,344
S012,S009,2973.718035,2972.701832,0.0003418450951,310.9196167,360.9196167,81.1196167,130.9196167,108
S012,S010,3951.019075,3951.004522,3.683377899e-06,423.1903076,473.1903076,193.3903076,121.5903076,152
S012,S011,6905.034447,6903.502944,0.0002218442944,370.4505615,420.4505615,140.6505615,208.3505615,308
S012,S013,2855.338172,2855.219885,4.142854887e-05,386.5263672,436.5263672,156.7263672,84.82636719,127
S012,S014,5454.829146,5454.843774,-2.681667511e-06,481.1858215,531.1858215,251.3858215,180.1858215,180
S012,S015,9320.587719,9317.611182,0.0003194527885,534.7462158,584.7462158,304.9462158,110.2462158,345
S013,O01,4849.536855,4849.242377,6.072645897e-05,349.1818237,399.1818237,47.48182373,271.4818237,228
S013,S001,2899.33045,2898.825753,0.000174103889,328.3608093,378.3608093,26.66080933,194.3608093,111
S013,S002,4540.229318,4540.132863,2.124477709e-05,327.2103271,377.2103271,25.51032715,157.7103271,188
S013,S003,10559.66302,10557.5672,0.0001985136872,505.944397,555.944397,204.244397,217.444397,403
S013,S004,6196.8342,6196.225149,9.829380705e-05,322.2989807,372.2989807,20.59898071,143.9989807,289
S013,S005,5215.452719,5214.490977,0.0001844364476,324.444458,374.444458,22.74445801,179.444458,246
S013,S006,7783.246214,7782.691509,7.127413499e-05,344.170929,394.170929,42.47092896,79.37092896,343
S013,S007,8056.279599,8054.98867,0.0001602645267,382.5381165,432.5381165,80.83811646,84.03811646,290
S013,S008,8055.544715,8054.017466,0.0001896257362,336.3731079,386.3731079,34.67310791,115.4731079,386
S013,S009,3211.380183,3211.141162,7.443483101e-05,322.2989807,372.2989807,20.59898071,142.2989807,150
S013,S010,1378.690187,1378.67257,1.277821294e-05,454.0703735,504.0703735,152.3703735,152.4703735,60
S013,S011,5234.089763,5233.20258,0.0001695296176,328.3608093,378.3608093,26.66080933,166.2608093,188
S013,S012,2855.338172,2855.219885,4.142854887e-05,386.5263672,436.5263672,84.82636719,156.7263672,127
S013,S014,3127.432918,3127.400497,1.036671664e-05,483.2603149,533.2603149,181.5603149,182.2603149,138
S013,S015,8350.811076,8348.973022,0.0002201532884,529.7706299,579.7706299,228.0706299,105.2706299,351
S014,O01,5419.5363,5419.601858,-1.209651071e-05,541.9473877,591.9473877,240.9473877,464.2473877,203
S014,S001,5196.473098,5196.211105,5.042011037e-05,550.050415,600.050415,249.050415,416.050415,248
S014,S002,7654.791492,7654.630751,2.099916145e-05,457.5832214,507.5832214,156.5832214,288.0832214,325
S014,S003,12386.88471,12385.71458,9.447429044e-05,542.7295532,592.7295532,241.7295532,254.2295532,540
S014,S004,9294.319073,9293.779822,5.802274991e-05,505.3861084,555.3861084,204.3861084,327.0861084,426
S014,S005,7996.206911,7995.561185,8.076057041e-05,552.8875122,602.8875122,251.8875122,407.8875122,383
S014,S006,8596.657308,8596.786772,-1.505951805e-05,556.6621094,606.6621094,255.6621094,291.8621094,312
S014,S007,9684.640719,9684.060959,5.986751662e-05,530.8557739,580.8557739,229.8557739,232.3557739,415
S014,S008,10975.50884,10974.33485,0.0001069757798,542.4922485,592.4922485,241.4922485,321.5922485,523
S014,S009,6315.671829,6315.453707,3.453769838e-05,502.7727966,552.7727966,201.7727966,322.7727966,287
S014,S010,1753.200164,1753.191203,5.111200598e-06,487.5635681,537.5635681,186.5635681,185.9635681,79
S014,S011,7128.155043,7127.719087,6.11635237e-05,568.5668335,618.5668335,267.5668335,406.4668335,325
S014,S012,5454.829146,5454.843774,-2.681667511e-06,481.1858215,531.1858215,180.1858215,251.3858215,180
S014,S013,3127.432918,3127.400497,1.036671664e-05,483.2603149,533.2603149,182.2603149,181.5603149,138
S014,S015,10557.27016,10556.12571,0.0001084160012,578.795166,628.795166,277.795166,154.295166,488
S015,O01,6009.764892,6009.382972,6.355404572e-05,521.7992554,571.7992554,97.29925537,444.0992554,286
S015,S001,5501.279663,5500.079173,0.0002182676731,547.3151855,597.3151855,122.8151855,413.3151855,241
S015,S002,7166.819355,7164.390109,0.0003390723204,593.7526245,643.7526245,169.2526245,424.2526245,314
S015,S003,2616.960741,2616.366901,0.0002269714436,437.8988647,487.8988647,13.39886475,149.3988647,119
S015,S004,5649.854647,5648.280045,0.0002787755167,641.2510376,691.2510376,216.7510376,462.9510376,267
S015,S005,3756.100729,3754.922176,0.0003138687678,568.6133423,618.6133423,144.1133423,423.6133423,154
S015,S006,4684.467491,4684.460846,1.41856555e-06,601.2601318,651.2601318,176.7601318,336.4601318,177
S015,S007,2219.350976,2219.359432,-3.810185789e-06,452.9182129,502.9182129,28.41821289,154.4182129,74
S015,S008,3929.332309,3928.894047,0.0001115485808,660.4509277,710.4509277,235.9509277,439.5509277,182
S015,S009,6364.775032,6362.737186,0.0003202781978,532.3267822,582.3267822,107.8267822,352.3267822,244
S015,S010,9197.58206,9196.058223,0.0001657053747,568.3262329,618.3262329,143.8262329,266.7262329,410
S015,S011,3461.755517,3461.196865,0.0001614042828,538.7306519,588.7306519,114.2306519,376.6306519,164
S015,S012,9320.587719,9317.611182,0.0003194527885,534.7462158,584.7462158,110.2462158,304.9462158,345
S015,S013,8350.811076,8348.973022,0.0002201532884,529.7706299,579.7706299,105.2706299,228.0706299,351
S015,S014,10557.27016,10556.12571,0.0001084160012,578.795166,628.795166,154.295166,277.795166,488
