type_id,soc,charge_to_full_s
C,0.77,1331.666667
C,0.78,1310
C,0.79,1288.333333
C,0.8,1266.666667
C,0.81,1245
C,0.82,1223.333333
C,0.83,1201.666667
C,0.84,1180
C,0.85,1158.333333
C,0.86,1136.666667
C,0.87,1115
C,0.88,1093.333333
C,0.89,1071.666667
C,0.9,1050
C,0.91,945
C,0.92,840
C,0.93,735
C,0.94,630
C,0.95,525
C,0.96,420
C,0.97,315
C,0.98,210
C,0.99,105
C,1,0
R,0,1800
R,0.01,1787
R,0.02,1774
R,0.03,1761
R,0.04,1748
R,0.05,1735
R,0.06,1722
R,0.07,1709
R,0.08,1696
R,0.09,1683
R,0.1,1670
R,0.11,1657
R,0.12,1644
R,0.13,1631
R,0.14,1618
R,0.15,1605
R,0.16,1592
R,0.17,1579
R,0.18,1566
R,0.19,1553
R,0.2,1540
R,0.21,1527
R,0.22,1514
R,0.23,1501
R,0.24,1488
R,0.25,1475
R,0.26,1462
R,0.27,1449
R,0.28,1436
R,0.29,1423
R,0.3,1410
R,0.31,1397
R,0.32,1384
R,0.33,1371
R,0.34,1358
R,0.35,1345
R,0.36,1332
R,0.37,1319
R,0.38,1306
R,0.39,1293
R,0.4,1280
R,0.41,1267
R,0.42,1254
R,0.43,1241
R,0.44,1228
R,0.45,1215
R,0.46,1202
R,0.47,1189
R,0.48,1176
R,0.49,1163
R,0.5,1150
R,0.51,1137
R,0.52,1124
R,0.53,1111
R,0.54,1098
R,0.55,1085
R,0.56,1072
R,0.57,1059
R,0.58,1046
R,0.59,1033
R,0.6,1020
R,0.61,1007
R,0.62,994
R,0.63,981
R,0.64,968
R,0.65,955
R,0.66,942
R,0.67,929
R,0.68,916
R,0.69,903
R,0.7,890
R,0.71,877
R,0.72,864
R,0.73,851
R,0.74,838
R,0.75,825
R,0.76,812
R,0.77,799
R,0.78,786
R,0.79,773
R,0.8,760
R,0.81,747
R,0.82,734
R,0.83,721
R,0.84,708
R,0.85,695
R,0.86,682
R,0.87,669
R,0.88,656
R,0.89,643
R,0.9,630
R,0.91,567
R,0.92,504
R,0.93,441
R,0.94,378
R,0.95,315
R,0.96,252
R,0.97,189
R,0.98,126
R,0.99,63
R,1,0
