method,validation,solver_status,urgent_weighted_delivery,energy_kwh,trip_count,makespan_s,runtime_s,late_box_count,total_lateness_s,urgent_late_count,normal_late_count,minimum_return_soc_percent,incumbent_source,seed_retained,seed
hybrid,PASS,FEASIBLE,0.588323023682389,66.33124506387801,21,9853.275573015177,7.208615699999999,0,0.0,0,0,20.949278300924455,provided_seed,True,20260924
hybrid,PASS,FEASIBLE,0.588323023682389,66.33124506387801,21,9853.275573015177,6.530768700000003,0,0.0,0,0,20.949278300924455,provided_seed,True,20260925
hybrid,PASS,FEASIBLE,0.588323023682389,66.33124506387801,21,9853.275573015177,6.791097799999999,0,0.0,0,0,20.949278300924455,provided_seed,True,20260926
hybrid,PASS,FEASIBLE,0.588323023682389,66.33124506387801,21,9853.275573015177,7.146707499999998,0,0.0,0,0,20.949278300924455,provided_seed,True,20260927
hybrid,PASS,FEASIBLE,0.5823619191201365,74.29720310449979,25,11483.341038145612,7.011255400000003,0,0.0,0,0,20.949278300924455,hybrid_search,False,20260928
hybrid,PASS,FEASIBLE,0.588323023682389,66.33124506387801,21,9853.275573015177,7.022274199999998,0,0.0,0,0,20.949278300924455,provided_seed,True,20260929
hybrid,PASS,FEASIBLE,0.588323023682389,66.33124506387801,21,9853.275573015177,6.802624000000002,0,0.0,0,0,20.949278300924455,provided_seed,True,20260930
hybrid,PASS,FEASIBLE,0.588323023682389,66.33124506387801,21,9853.275573015177,6.812633500000004,0,0.0,0,0,20.949278300924455,provided_seed,True,20260931
hybrid,PASS,FEASIBLE,0.588323023682389,66.33124506387801,21,9853.275573015177,6.6579459999999955,0,0.0,0,0,20.949278300924455,provided_seed,True,20260932
hybrid,PASS,FEASIBLE,0.588323023682389,66.33124506387801,21,9853.275573015177,6.950560499999995,0,0.0,0,0,20.949278300924455,provided_seed,True,20260933
