method,validation,solver_status,normalized_weighted_delivery_time,makespan_s,energy_kwh,trip_count,runtime_s,delivered_box_count,minimum_return_soc_percent,fallback,backend,seed_retained,native_improved_seed,has_feasible_incumbent,incumbent_source,own_incumbent,pareto_nondominated,lexicographic_rank
integrated_milp,PASS,FEASIBLE,0.516328617103963,9408.443943661947,64.83172808040707,22,3.1949018000000002,80,21.46754357508445,,OR-Tools CP-SAT restricted integrated model,True,False,True,provided_seed,False,True,3
candidate,PASS,FEASIBLE,0.516328617103963,9408.443943661947,64.83172808040707,22,2.9585226000000002,80,21.46754357508445,,,True,False,True,provided_seed,False,True,2
alns,PASS,FEASIBLE,0.516328617103963,9408.443943661947,64.83172808040707,22,1.5527647000000009,80,21.46754357508445,,,True,False,True,provided_seed,False,True,1
hybrid,PASS,FEASIBLE,0.516328617103963,9408.443943661947,64.83172808040707,22,4.3730607,80,21.46754357508445,,,True,False,True,provided_seed,False,True,4
