method,validation,solver_status,normalized_weighted_delivery_time,makespan_s,energy_kwh,trip_count,runtime_s,delivered_box_count,minimum_return_soc_percent,fallback,backend
integrated_milp,PASS,FEASIBLE,1.7068739241147075,37939.8995020773,174.0327124030489,76,5.5597834,80,32.011234859728454,,OR-Tools CP-SAT restricted integrated model
candidate,PASS,FEASIBLE_FALLBACK,1.0945607061728408,18824.583381460106,191.66702883602272,80,1.4248890999999997,80,30.14782029412183,resource_aware_single_box,
alns,PASS,FEASIBLE_FALLBACK,1.0945607061728408,18824.583381460106,191.66702883602272,80,1.4021706999999992,80,30.14782029412183,resource_aware_single_box,
hybrid,PASS,FEASIBLE_FALLBACK,1.0945607061728408,18824.583381460106,191.66702883602272,80,2.3120610999999993,80,30.14782029412183,resource_aware_single_box,
