service_id,trips,max_reserve_fraction
S001,2,0.62552802433
S001,3,0.707576212692
S001,4,0.726956138438
S001,5,0.7343916548
S001,6,0.740661175424
S001,7,0.740661175424
S001,8,0.745924458853
S001,9,0.745924458853
S001,10,0.747474403295
S001,11,0.751543201343
S001,12,0.751543201343
S001,13,0.751543201343
S001,14,0.751543201343
S001,15,0.751543201343
S002,2,0.343903617705
S002,3,0.382761780422
S002,4,0.395048127603
S002,5,0.398647334465
S002,6,0.409673695601
S002,7,0.409673695601
S002,8,0.409673695601
S003,2,0.338923305076
S003,3,0.378705087441
S003,4,0.391474305976
S003,5,0.395244359726
S003,6,0.405172560562
S003,7,0.405172560562
S003,8,0.405172560562
S004,1,0.230892483877
S004,2,0.343742868341
S004,3,0.364206289277
S004,4,0.373304326357
S004,5,0.378033995655
S004,6,0.378033995655
S005,1,0.472232828328
S005,2,0.549656534397
S005,3,0.563721055172
S005,4,0.569980531227
S005,5,0.573237121706
S005,6,0.573237121706
S006,1,0.675257963726
S006,2,0.723542973578
S006,3,0.732533587217
S006,4,0.73659063324
S006,5,0.738723717345
S006,6,0.738723717345
S007,1,0.573624523942
S007,2,0.613100649613
S007,3,0.62026697819
S007,4,0.623366675241
S007,5,0.623366675241
S008,1,0.270497416483
S008,2,0.336256705847
S008,3,0.347777451873
S008,4,0.352676473474
S008,5,0.352676473474
S009,1,0.528826773539
S009,2,0.543977729167
S009,3,0.543977729167
S010,1,0.596241725374
S010,2,0.609399616685
S010,3,0.609399616685
S011,1,0.762500231202
S011,2,0.770154578409
S011,3,0.770154578409
S012,1,0.384702564951
S012,2,0.404039394044
S012,3,0.404039394044
S013,1,0.593837819585
S013,2,0.606962721064
S013,3,0.606962721064
S014,1,0.532668356247
S014,2,0.548172727653
S014,3,0.548172727653
S015,1,0.490561993852
S015,2,0.507387069565
S015,3,0.507387069565
