service_id,type_id,reserve_fraction,max_safe_payload_kg,status,energy_budget_kwh,energy_empty_kwh,energy_at_rated_payload_kwh,energy_at_safe_payload_kwh,rated_payload_kg,distance_out_m,distance_back_m,climb_out_m,climb_back_m,descent_out_m,descent_back_m,cruise_alt_m,flight_s
S010,B,0,30,rated_payload_limited,4,1.46344502735,2.01104041223,2.01104041223,30,4784.674506,4784.674506,307.9365356,84.03653564,84.03653564,307.9365356,435.6365356,925.403519709
S010,C,0,80,rated_payload_limited,8,3.04807696181,4.85885692633,4.85885692633,80,4784.674506,4784.674506,307.9365356,84.03653564,84.03653564,307.9365356,435.6365356,990.732364916
S011,A,0,25,rated_payload_limited,4.5,1.07737291221,1.21959611273,1.21959611273,25,2808.106412,2808.106412,167.6617554,83.26175537,83.26175537,167.6617554,295.3617554,652.028309898
S011,B,0,30,rated_payload_limited,4,0.864023964183,1.1839226027,1.1839226027,30,2808.106412,2808.106412,167.6617554,83.26175537,83.26175537,167.6617554,295.3617554,558.424762831
S011,C,0,80,rated_payload_limited,8,1.79442515305,2.85321027055,2.85321027055,80,2808.106412,2808.106412,167.6617554,83.26175537,83.26175537,167.6617554,295.3617554,600.24534796
S012,A,0,25,rated_payload_limited,4.5,2.77180546523,3.13142055533,3.13142055533,25,7391.140163,7391.140163,285.6009949,133.5009949,133.5009949,285.6009949,413.3009949,1539.19815302
S012,B,0,30,rated_payload_limited,4,2.21482112408,3.039145538,3.039145538,30,7391.140163,7391.140163,285.6009949,133.5009949,133.5009949,285.6009949,413.3009949,1292.82681425
S012,C,0,80,rated_payload_limited,8,4.65923038872,7.39890429565,7.39890429565,80,7391.140163,7391.140163,285.6009949,133.5009949,133.5009949,285.6009949,413.3009949,1362.67714589
S013,A,0,25,rated_payload_limited,4.5,1.83030762726,2.07421509617,2.07421509617,25,4849.536855,4849.536855,271.4818237,47.48182373,47.48182373,271.4818237,399.1818237,1042.16281728
S013,B,0,30,rated_payload_limited,4,1.46402243521,2.0144296422,2.0144296422,30,4849.536855,4849.536855,271.4818237,47.48182373,47.48182373,271.4818237,399.1818237,880.511588782
S013,C,0,80,rated_payload_limited,8,3.06868405411,4.89171403136,4.89171403136,80,4849.536855,4849.536855,271.4818237,47.48182373,47.48182373,271.4818237,399.1818237,933.672196687
S014,A,0,25,rated_payload_limited,4.5,2.13779691217,2.42558723052,2.42558723052,25,5419.5363,5419.5363,464.2473877,240.9473877,240.9473877,464.2473877,591.9473877,1420.39888529
S014,B,0,30,rated_payload_limited,4,1.72186251244,2.35522053783,2.35522053783,30,5419.5363,5419.5363,464.2473877,240.9473877,240.9473877,464.2473877,591.9473877,1239.74767529
S014,C,0,80,rated_payload_limited,8,3.52159630022,5.60758666095,5.60758666095,80,5419.5363,5419.5363,464.2473877,240.9473877,240.9473877,464.2473877,591.9473877,1357.28013786
S015,A,0,25,rated_payload_limited,4.5,2.30689938866,2.61934426755,2.61934426755,25,6009.764892,6009.764892,444.0992554,97.29925537,97.29925537,444.0992554,571.7992554,1398.65305656
S015,B,0,30,rated_payload_limited,4,1.85021799472,2.5445279265,2.5445279265,30,6009.764892,6009.764892,444.0992554,97.29925537,97.29925537,444.0992554,571.7992554,1198.32756016
S015,C,0,80,rated_payload_limited,8,3.84149604983,6.13326501752,6.13326501752,80,6009.764892,6009.764892,444.0992554,97.29925537,97.29925537,444.0992554,571.7992554,1288.56064529
S001,A,0.1,25,rated_payload_limited,4.05,1.16153051602,1.31271024158,1.31271024158,25,3054.023608,3054.023608,145.3566101,89.05661011,89.05661011,145.3566101,273.0566101,680.906962821
S001,B,0.1,30,rated_payload_limited,3.6,0.930225761055,1.27394097204,1.27394097204,30,3054.023608,3054.023608,145.3566101,89.05661011,89.05661011,145.3566101,273.0566101,579.106175887
S001,C,0.1,80,rated_payload_limited,7.2,1.94139247193,3.08170436114,3.08170436114,80,3054.023608,3054.023608,145.3566101,89.05661011,89.05661011,145.3566101,273.0566101,618.175045922
S002,A,0.1,25,rated_payload_limited,4.05,2.73984663737,3.09050972759,3.09050972759,25,7411.533814,7411.533814,181.2542542,89.45425415,89.45425415,181.2542542,308.9542542,1433.77520846
S002,B,0.1,30,rated_payload_limited,3.6,2.18415452088,2.99882031183,2.99882031183,30,7411.533814,7411.533814,181.2542542,89.45425415,89.45425415,181.2542542,308.9542542,1186.72408132
S002,C,0.1,78.592218323,energy_limited,7.2,4.6325359292,7.34794754861,7.2,80,7411.533814,7411.533814,181.2542542,89.45425415,89.45425415,181.2542542,308.9542542,1231.84216605
S003,A,0.1,25,rated_payload_limited,4.05,2.7890857722,3.15701804891,3.15701804891,25,7263.826968,7263.826968,434.1041382,223.3041382,223.3041382,434.1041382,561.8041382,1692.73723069
S003,B,0.1,30,rated_payload_limited,3.6,2.23705090717,3.06459015809,3.06459015809,30,7263.826968,7263.826968,434.1041382,223.3041382,223.3041382,434.1041382,561.8041382,1450.60966509
S003,C,0.1,78.2261928284,energy_limited,7.2,4.64390670284,7.38282653444,7.2,80,7263.826968,7263.826968,434.1041382,223.3041382,223.3041382,434.1041382,561.8041382,1560.17771116
S004,A,0.1,25,rated_payload_limited,4.05,2.89394171155,3.26669153411,3.26669153411,25,7714.681646,7714.681646,270.5391663,169.9391663,169.9391663,270.5391663,398.2391663,1608.79771824
S004,B,0.1,30,rated_payload_limited,3.6,2.31251848078,3.16979849246,3.16979849246,30,7714.681646,7714.681646,270.5391663,169.9391663,169.9391663,270.5391663,398.2391663,1351.64166337
S004,C,0.1,74.8851645825,energy_limited,7.2,4.86398606465,7.71524423837,7.2,80,7714.681646,7714.681646,270.5391663,169.9391663,169.9391663,270.5391663,398.2391663,1425.05471881
S005,A,0.1,25,rated_payload_limited,4.05,1.98844309239,2.24486501136,2.24486501136,25,5280.593369,5280.593369,198.7108887,131.4108887,131.4108887,198.7108887,326.4108887,1122.18819826
S005,B,0.1,30,rated_payload_limited,3.6,1.58992547929,2.1782576011,2.1782576011,30,5280.593369,5280.593369,198.7108887,131.4108887,131.4108887,198.7108887,326.4108887,946.168419293
S005,C,0.1,80,rated_payload_limited,7.2,3.33690049967,5.29264281489,5.29264281489,80,5280.593369,5280.593369,198.7108887,131.4108887,131.4108887,198.7108887,326.4108887,1001.18871553
S006,A,0.1,25,rated_payload_limited,4.05,1.22375461487,1.38968260036,1.38968260036,25,3186.198852,3186.198852,238.3978394,51.29783936,51.29783936,238.3978394,366.0978394,743.476639757
S006,B,0.1,30,rated_payload_limited,3.6,0.981585340998,1.35002263401,1.35002263401,30,3186.198852,3186.198852,238.3978394,51.29783936,51.29783936,238.3978394,366.0978394,637.270011357
S006,C,0.1,80,rated_payload_limited,7.2,2.0373511789,3.25327178824,3.25327178824,80,3186.198852,3186.198852,238.3978394,51.29783936,51.29783936,238.3978394,366.0978394,685.552624484
S007,A,0.1,25,rated_payload_limited,4.05,1.77756344482,2.01797249109,2.01797249109,25,4534.717375,4534.717375,384.273175,163.473175,163.473175,384.273175,511.973175,1157.46688583
S007,B,0.1,30,rated_payload_limited,3.6,1.43033692627,1.95981561942,1.95981561942,30,4534.717375,4534.717375,384.273175,163.473175,163.473175,384.273175,511.973175,1006.30964
S007,C,0.1,80,rated_payload_limited,7.2,2.93545326153,4.67961017039,4.67961017039,80,4534.717375,4534.717375,384.273175,163.473175,163.473175,384.273175,511.973175,1097.60069833
S008,A,0.1,25,rated_payload_limited,4.05,3.00043718224,3.38719045973,3.38719045973,25,8079.110449,8079.110449,245.2093323,102.0093323,102.0093323,245.2093323,372.9093323,1601.14542887
S008,B,0.1,30,rated_payload_limited,3.6,2.39370630456,3.28715724997,3.28715724997,30,8079.110449,8079.110449,245.2093323,102.0093323,102.0093323,245.2093323,372.9093323,1331.84174724
S008,C,0.1,71.4380273882,energy_limited,7.2,5.06358632917,8.03799840697,7.2,80,8079.110449,8079.110449,245.2093323,102.0093323,102.0093323,245.2093323,372.9093323,1389.71152467
S009,A,0.1,25,rated_payload_limited,4.05,2.11449348264,2.38688881319,2.38688881319,25,5705.303447,5705.303447,165.5289124,63.22891235,63.22891235,165.5289124,293.2289124,1118.63964598
S009,B,0.1,30,rated_payload_limited,3.6,1.68634349503,2.31641401773,2.31641401773,30,5705.303447,5705.303447,165.5289124,63.22891235,63.22891235,165.5289124,293.2289124,928.462864417
S009,C,0.1,80,rated_payload_limited,7.2,3.57145366019,5.66961266921,5.66961266921,80,5705.303447,5705.303447,165.5289124,63.22891235,63.22891235,165.5289124,293.2289124,966.589168542
S010,A,0.1,25,rated_payload_limited,4.05,1.82629300362,2.0707297629,2.0707297629,25,4784.674506,4784.674506,307.9365356,84.03653564,84.03653564,307.9365356,435.6365356,1084.89266991
S010,B,0.1,30,rated_payload_limited,3.6,1.46344502735,2.01104041223,2.01104041223,30,4784.674506,4784.674506,307.9365356,84.03653564,84.03653564,307.9365356,435.6365356,925.403519709
S010,C,0.1,80,rated_payload_limited,7.2,3.04807696181,4.85885692633,4.85885692633,80,4784.674506,4784.674506,307.9365356,84.03653564,84.03653564,307.9365356,435.6365356,990.732364916
S011,A,0.1,25,rated_payload_limited,4.05,1.07737291221,1.21959611273,1.21959611273,25,2808.106412,2808.106412,167.6617554,83.26175537,83.26175537,167.6617554,295.3617554,652.028309898
S011,B,0.1,30,rated_payload_limited,3.6,0.864023964183,1.1839226027,1.1839226027,30,2808.106412,2808.106412,167.6617554,83.26175537,83.26175537,167.6617554,295.3617554,558.424762831
S011,C,0.1,80,rated_payload_limited,7.2,1.79442515305,2.85321027055,2.85321027055,80,2808.106412,2808.106412,167.6617554,83.26175537,83.26175537,167.6617554,295.3617554,600.24534796
S012,A,0.1,25,rated_payload_limited,4.05,2.77180546523,3.13142055533,3.13142055533,25,7391.140163,7391.140163,285.6009949,133.5009949,133.5009949,285.6009949,413.3009949,1539.19815302
S012,B,0.1,30,rated_payload_limited,3.6,2.21482112408,3.039145538,3.039145538,30,7391.140163,7391.140163,285.6009949,133.5009949,133.5009949,285.6009949,413.3009949,1292.82681425
S012,C,0.1,78.0863711276,energy_limited,7.2,4.65923038872,7.39890429565,7.2,80,7391.140163,7391.140163,285.6009949,133.5009949,133.5009949,285.6009949,413.3009949,1362.67714589
S013,A,0.1,25,rated_payload_limited,4.05,1.83030762726,2.07421509617,2.07421509617,25,4849.536855,4849.536855,271.4818237,47.48182373,47.48182373,271.4818237,399.1818237,1042.16281728
S013,B,0.1,30,rated_payload_limited,3.6,1.46402243521,2.0144296422,2.0144296422,30,4849.536855,4849.536855,271.4818237,47.48182373,47.48182373,271.4818237,399.1818237,880.511588782
S013,C,0.1,80,rated_payload_limited,7.2,3.06868405411,4.89171403136,4.89171403136,80,4849.536855,4849.536855,271.4818237,47.48182373,47.48182373,271.4818237,399.1818237,933.672196687
S014,A,0.1,25,rated_payload_limited,4.05,2.13779691217,2.42558723052,2.42558723052,25,5419.5363,5419.5363,464.2473877,240.9473877,240.9473877,464.2473877,591.9473877,1420.39888529
S014,B,0.1,30,rated_payload_limited,3.6,1.72186251244,2.35522053783,2.35522053783,30,5419.5363,5419.5363,464.2473877,240.9473877,240.9473877,464.2473877,591.9473877,1239.74767529
S014,C,0.1,80,rated_payload_limited,7.2,3.52159630022,5.60758666095,5.60758666095,80,5419.5363,5419.5363,464.2473877,240.9473877,240.9473877,464.2473877,591.9473877,1357.28013786
